,Study/Cohort(s) unique ID,,,,,,What were the study objectives?,,,,,What arms did the study involve?,,,,,Was assignment to different arms randomised/blinded?,,,
X,A1_trialID,A1_trialRegistry,#studyTitle,#cohortsJustif,A0_S,A0_C,A2_efficacy,A2_safety,A2_pharma,A2_other,#objComment,A3_control,A3_ctrlCat1,A3_ctrlCat2,A3_arms,#armComment,A4_random,A4_randMethod,A5_blind,A5_blindLevel
X00010,not found,not found,not found,N/A,S1,S1C1,1,0,0,none,Programme performance: impact of overall control measures on incidence/prevalence,1,placebo,N/A,2,"Control group unclear: referred to as ""placebo"" (not specified which) and as ""untreated""",1,unclear,0,N/A
X00020,not found,not found,not found,N/A,S2,S2C1,1,1,0,diagnostic approach,none,1,drug comparison,placebo,3,"PZQ treatment, OXA treatment and placebo group",1,unclear,1,triple
X00170,ISRCTN53172722,Controlled-Trials.com (BioMed Central),"Epidemiology and control of schistosomiasis in preschool-aged children in Côte d’'Ivoire, with particular consideration to the efficacy and safety of crushed praziquantel tablets: a non-randomised study",N/A,S17,S17C1,1,1,0,diagnostic approach,"Epidemiology: incidence, distribution, and possible control of schistosomiasis in pre-school children; nested, exploratory study",0,N/A,N/A,1,none,0,N/A,0,N/A
X00180,not found,not found,not found,N/A,S18,S18C1,1,1,0,none,Control programme optimisation: feasibility/adaptation of MDA/PCT protocol for infants,1,regimen comparison,N/A,2,"PZQ treatment, in syrup or crushed-tablets",0,N/A,0,N/A
X00190,not found,not found,not found,N/A,S19,S19C1,1,0,0,none,none,1,drug comparison,N/A,2,"Mirazid treatment, and PZQ (control)",1,unclear,1,unclear
X00200,not found,not found,not found,N/A,S20,S20C1,1,0,0,diagnostic approach,"assessment of continued efficacy, including after repeated MDA/PCT rounds",1,other (treatment history),N/A,2,"""previously treated"" (i.e. had received at least one PZQ dose within the past 18 months), vs. ""treatment-naïve"" group",0,N/A,0,N/A
X00210,ISRCTN29273316; NCT00403611,ClinicalTrials.gov; Controlled-Trials.com (BioMed Central),Efficacy and safety of increased dosage of praziquantel in treatment of schistosomiasis,"multi-centric study, with several countries involved, different Schistosoma species of interest, and different co-infections allowed at recruitment, i.e. variable protocol",S21,S21C1,1,1,0,none,none,1,dose comparison,N/A,2,"PZQ treatment, high 60 mg/kg or standard 40 mg/kg dose",1,Computer-generated randomisation list with blocks of 4 in a ratio 1:1 for each regimen,1,double
X00211,ISRCTN29273316; NCT00403611,ClinicalTrials.gov; Controlled-Trials.com (BioMed Central),Efficacy and safety of increased dosage of praziquantel in treatment of schistosomiasis,"multi-centric study, with several countries involved, different Schistosoma species of interest, and different co-infections allowed at recruitment, i.e. variable protocol",S21,S21C2,1,1,0,none,none,1,dose comparison,N/A,2,"PZQ treatment, high 60 mg/kg or standard 40 mg/kg dose",1,Computer-generated randomisation list with blocks of 4 in a ratio 1:1 for each regimen,1,double
X00212,ISRCTN29273316; NCT00403611,ClinicalTrials.gov; Controlled-Trials.com (BioMed Central),Efficacy and safety of increased dosage of praziquantel in treatment of schistosomiasis,"multi-centric study, with several countries involved, different Schistosoma species of interest, and different co-infections allowed at recruitment, i.e. variable protocol",S21,S21C3,1,1,0,none,none,1,dose comparison,N/A,2,"PZQ treatment, high 60 mg/kg or standard 40 mg/kg dose",1,Computer-generated randomisation list with blocks of 4 in a ratio 1:1 for each regimen,1,double
X00213,ISRCTN29273316; NCT00403611,ClinicalTrials.gov; Controlled-Trials.com (BioMed Central),Efficacy and safety of increased dosage of praziquantel in treatment of schistosomiasis,"multi-centric study, with several countries involved, different Schistosoma species of interest, and different co-infections allowed at recruitment, i.e. variable protocol",S21,S21C4,1,1,0,none,none,1,dose comparison,N/A,2,"PZQ treatment, high 60 mg/kg or standard 40 mg/kg dose",1,Computer-generated randomisation list with blocks of 4 in a ratio 1:1 for each regimen,1,double
X00220,not found,not found,not found,N/A,S22,S22C1,1,0,0,none,none,1,regimen comparison,N/A,3,"PZQ treatment once, twice or three times (with intervals of 3 weeks)",1,unclear,0,N/A
X00230,not found,not found,not found,N/A,S23,S23C1,1,0,0,none,nested in malaria treatment RCT,1,drug comparison,N/A,2,"As treatment, together with SP or with A",1,As part of the larger malaria study,0,N/A
X00240,not found,not found,not found,N/A,S24,S24C1,1,1,0,none,nested in malaria treatment RCT,1,drug comparison,regimen comparison,3,"Several As+SMP tablets, each one every 12 or 24h, or AT+LU",1,"Computer-generated numbers were used to allocate the patients randomly to one of three treatment regimens, as part of the larger malaria study",1,unclear
X00250,NCT01132248; ATMR2010020001429343,ClinicalTrials.gov; Pan African Clinical Trials Registry (PACTR),Activity of Mefloquine Against Urinary Schistosomiasis; Evaluation of the safety and efficacy of Mefloquine as intermittent preventive treatment for malaria in pregnancy,N/A,S25,S25C1,1,0,0,none,"nested in RCT, pregnant women study",1,drug comparison,N/A,2,"MFQ intermittent preventive treatment (against malaria) in pregnancy (IPTp) with 2 possible regimens but considered altogether as one arm of the nested trial, or SP (control)",1,Randomisation list with 2:1 allocation ratio computer-generated and provided by independent Trial Management Team,1,assessor-blinded
X00270,not found,not found,not found,N/A,S27,S27C1,1,1,0,none,none,1,drug comparison,placebo,4,"As+PZQ, As+Placebo, PZQ+Placebo, Placebo (control)",1,Computer-generated randomisation code,1,double
X00280,not found,not found,not found,"different participants involved (villagers vs. schoolchildren): different age groups, recruitment means and follow-up time-points, i.e. variable protocol",S28,S28C1,1,1,0,none,recruitment during low transmission season,1,drug comparison,untreated controls,3,"Mirazid treatment, PZQ, and no treatment (control) actually corresponding to participants non-complying to assigned treatment",1,unclear,1,assessor-blinded
X00281,not found,not found,not found,"different participants involved (villagers vs. schoolchildren): different age groups, recruitment means and follow-up time-points, i.e. variable protocol",S28,S28C2,1,1,0,none,recruitment during low transmission season,1,drug comparison,untreated controls,3,"Mirazid treatment, PZQ, and no treatment (control) actually corresponding to participants non-complying to assigned treatment",1,unclear,1,assessor-blinded
X00340,not found,not found,not found,N/A,S34,S34C1,0,0,0,diagnostic approach,none,0,N/A,N/A,1,none,0,N/A,0,N/A
X00350,not found,not found,not found,N/A,S35,S35C1,1,1,0,none,none,1,drug comparison,other (endemic context),4,"As treatment vs. PZQ (control); and, new vs. old transmission focus",0,N/A,0,N/A
X00360,not found,not found,not found,N/A,S36,S36C1,1,0,0,none,"assessment of continued efficacy, including after repeated MDA/PCT rounds",1,other (treatment history),N/A,2,"""previously treated"" (i.e. reported having been diagnosed with schistosomiasis and treated with PZQ), vs. ""treatment-naïve"" group",0,N/A,0,N/A
X00370,ISRCTN32849447,Controlled-Trials.com (BioMed Central),The impact of helminths on the response to immunisation and on the incidence of infection and disease in childhood in Uganda (EMBaS),N/A,S37,S37C1,1,0,0,immunological responses,"nested in RCT, pregnant women study",1,placebo,N/A,2,"PZQ during pregnancy, or Placebo during pregnancy (control), followed by PZQ after delivery in both groups",1,unclear,1,double
X00400,not found,not found,not found,N/A,S40,S40C1,1,1,0,none,none,1,dose comparison,N/A,2,PZQ medium or high dose,1,using small blocks to achieve balance,1,unclear
X00410,not found,not found,not found,"two different endemicity context and co-infections allowed (S. haematobium only, or mixed), i.e. different protocols",S41,S41C1,1,1,0,none,none,0,N/A,N/A,1,none,0,N/A,0,N/A
X00411,not found,not found,not found,"two different endemicity context and co-infections allowed (S. haematobium only, or mixed), i.e. different protocols",S41,S41C2,1,1,0,none,none,0,N/A,N/A,1,none,0,N/A,0,N/A
X00420,not found,not found,not found,N/A,S42,S42C1,1,1,0,none,none,1,drug comparison,regimen comparison + placebo,4,"AM+PZQ low dose, PZQ low dose+Placebo, AM+PZQ high dose, PZQ high dose+Placebo",1,"Random allocation of treatment regimens using a computer-generated random number list, performed by a senior scientist was independent of the treatment and laboratory testing",1,double
X00430,not found,not found,not found,N/A,S43,S43C1,1,1,0,none,none,1,drug comparison,placebo,6,PZQ+As; Placebo+As; PZQ+Placebo; Placebos; PZQ only; As only (and no placebo),1,unclear,0,N/A
X00440,not found,not found,not found,N/A,S44,S44C1,1,1,0,none,none,0,N/A,N/A,1,none,0,N/A,0,N/A
X00460,NCT01054651,ClinicalTrials.gov,"Open-label, Randomized Clinical Trial in Kenya to Determine the Effectiveness of Artesunate + Sulfamethoxypyrazine/Pyrimethamine vs. Praziquantel in the Treatment of S. Mansoni in Children",N/A,S46,S46C1,1,1,0,none,phase 3 trial,1,drug comparison,N/A,2,"As+SMP treatment, or PZQ (control)",1,The randomisation sequence was computer generated in blocks of four by the study sponsor.,1,assessor-blinded
X00480,not found,not found,not found,N/A,S48,S48C1,1,1,0,none,none,0,N/A,N/A,1,none,0,N/A,0,N/A
X00500,not found,not found,not found,N/A,S50,S50C1,0,0,0,diagnostic approach,none,0,N/A,N/A,1,none,0,N/A,0,N/A
