,,,Where was the study conducted/cohort recruited?,,,,,,,,,When was the study conducted and reported?,,,
X,A0_S,A0_C,B0_country,#siteLocation,B1_siteCat,B1_setting,B0_region,B0_income,B2_endem,B2_species1,B2_species2,B3_studyStart,B4_studyEnd,B5_reportDate,B5_reportMeans
X00010,S1,S1C1,South Africa,"11 primary schools in Ugu North health District, KwaZulu-Natal",school,rural,Southern Africa,upper middle,2,haematobium,mansoni [rare],unknown,unknown,15/12/2001,journal article
X00020,S2,S2C1,Brazil,"University Hospital (outpatients), Universidade Federal de Minas Gerais (UFMG), Belo Horizonte",hospital/health-centre,urban,South America,upper middle,0*,mansoni,N/A,unknown,unknown,16/05/2003,journal article
X00170,S17,S17C1,Cote d'Ivoire,"2 villages: Azaguie Makouguie (05.37 N, 04.09 W) and Azaguie M'Brome (05.39 N, 04.08 W)",other,rural,Western Africa,lower middle,2,haematobium,mansoni,15/06/2011,15/11/2011,6/12/2012,journal article
X00180,S18,S18C1,Uganda,"health-centres or churches in 6 villages: Booma (1.48 N, 31.20 E), Kawebanda (1.48 N, 31.19 E), Nyamukuta (1.52 N, 31.23 E), Piida A (1.49 N, 31.19 E), Sonsio (1.52 N, 31.23 E), Tugombilli (1.49 N, 31.20 E)",other,rural,Eastern Africa,low,5,mansoni,N/A,3/6/2010,6/7/2010,30/05/2012,journal article
X00190,S19,S19C1,Egypt,"El Zawrat village, Nile Delta (31.23 N, 30.27 E)",other,rural,Northern Africa,lower middle,1,mansoni,N/A,unknown,unknown,15/08/2005,journal article
X00200,S20,S20C1,Uganda,"7 villages around Lake Albert, Buliisa District (2 sites), and Lake Victoria, Mayuge District (5 sites)",other,rural,Eastern Africa,low,3,mansoni,N/A,unknown,unknown,18/10/2012,journal article
X00210,S21,S21C1,Philippines,"village(s) in province of Agusan del Sur, Mindanao Island",other,rural,South-Eastern Asia,lower middle,3,japonicum,N/A,15/08/2005,15/08/2006,14/06/2011,journal article
X00211,S21,S21C2,Mauritania,village(s) in Trarza region,other,rural,Western Africa,lower middle,5,mansoni,haematobium [partial data],15/08/2005,15/12/2006,14/06/2011,journal article
X00212,S21,S21C3,Brazil,"Municipality of Sao Lourenco da Mata, Pernambuco state",other,urban,South America,upper middle,4,mansoni,N/A,15/03/2006,15/12/2007,14/06/2011,journal article
