,,,,,20517,,What schisto. infection did participants have?,,,Co-infections confirmed by diagnostic test?,,,,Age range of enrolled participants?,,,Specific inclusion criteria,,,,,,,Specific exclusion criteria,,,,,
X,A0_S,A0_C,D0_included,E0_infection,D1_infected,D2_followed,#correctedCalculation,E1_schistoInclude,E1_schistoExclude,E2_malaria,E3_helminth,E2_excluMal,E3_excluHelm,F0_ageMin,F1_ageMax,F5_pregnancy,G0_incluHealthy,G1_incluMorph,G3_incluCompliant,G4_incluConsent,G5_incluSchool,G6_incluResidency,G7_incluOther,H1_excluMalnutrition,H0_excluIllness,H4_excluAllergy,H5_excluMedication,H7_excluParticipation,H8_excluOther
X00010,S1,S1C1,268,not required,29,-1,Data at 2 weeks (= only time-point of relevance in the present review) for participants with Schistosoma infection at baseline was collected for only 29 participants (note that all S. mansoni infections were on top of S. haematobium ones); Data a 16 weeks for 50 participants.,none,none,0,1,0,0,8.00,10.00,N/A,,,provided stool samples pre- and 16 weeks post-treatment,"written informed consent was obtained from the relevant tribal authorities and parents, verbal consent was provided by the pupils",in grade 3,,,,,,,,
X00020,S2,S2C1,106,Sm+,106,90,N/A,none,exclude: hepato-splenic form of the disease.,0,0,0,0,12.00,59.00,exclude: pregnant,,,,,,,,,acute or severe chronic concomitant diseases,,,,"children of pre-school age, aged patients and suckling infants; individuals whose behaviour (e.g. contact with natural waters suspected to contain cercariae) put them at risk for acquiring new infections"
X00170,S17,S17C1,234,not required,61,42,"Out of 281 participants included in the study (providing samples at baseline and meeting other inclusion criteria), only 21.9% were infected with S. mansoni, and 11.2% with S. haematobium (co-infections: 6.9%). Any species overall infection rate approx. 26% = correction factor 0.26",none,none,1,1,1,0,0.42,7.00,N/A,,,"successfully swallowed the prescribed PZQ tablets, with no rejection recorded; submission of at least 1 sufficiently large stool for duplicate Kato-Katz smear and 1 urine sample for 10 mL filtration and single POC-CCA cassette test",Parents or guardians of eligible children were informed about the objectives of the study and asked to provide written informed consent on behalf of their children,,resident in study area since birth,,,"any major systemic illness or abnormal medical condition, as judged by the medical personnel on the day of treatment",,"recent anthelminthic treatment (within 4 weeks), according to a parental questionnaire",participation in other studies,
X00180,S18,S18C1,297,Sm+,297,203,N/A,none,none,1,0,0,0,1.50,5.00,N/A,,,,Families with preschool children (aged 12 months to 5 years) that volunteered to participate in the study were then fully informed about the study in the local language and written (or fingerprinted) informed consent was obtained,,,,,Infants who were patently unwell were excluded and were taken to the local health centre,,"(has been treated with PZQ previously, at any time)",,
X00190,S19,S19C1,104,Sm+,104,83,N/A,none,none,0,0,0,0,5.00,44.00,unclear,,,,"adult patients gave informed consent prior to participating in the study, and consent and assent forms were obtained from all children and their parents who agreed to participate in the study",,,,,,,,,
X00200,S20,S20C1,369,Sm+,369,305,N/A,none,none,1,0,0,0,0.42,7.00,N/A,no diarrhoea,,"provided two consecutive stool samples and a single urine sample at baseline and follow-up; and, successfully swallowed the prescribed PZQ tablets, with no rejection recorded",informed consent was given by mothers in writing or by fingerprint (in cases of illiteracy),,resident in study area since birth,,,existing medical condition,,,,
X00210,S21,S21C1,203,Sj+,203,200,N/A,include: confirmed infection at baseline if >100 eggs per gram of faeces.,exclude: acute form of the disease (e.g. hepato-splenic schistosomiasis).,0,0,0,0,10.00,19.00,exclude: pregnant or lactating,,,,"signed a written informed consent (if under 18 years of age, written informed consent from parents/guardians and individual verbal assent)",,,,,,Known hypersensitivity or previous history of adverse reaction associated with PZQ,"Use of PZQ in the last 30 days, or of any other medication that may affect trial results (e.g. antibiotics and corticosteroids) within the past week",,
X00211,S21,S21C2,186,Sm+ (required) and Sh+ (tolerated),186,180,N/A,include: confirmed infection at baseline if >100 eggs per gram of faeces.,exclude: acute form of the disease (e.g. hepato-splenic schistosomiasis).,0,0,0,0,10.00,19.00,exclude: pregnant or lactating,,,,"signed a written informed consent (if under 18 years of age, written informed consent from parents/guardians and individual verbal assent)",,,,,,Known hypersensitivity or previous history of adverse reaction associated with PZQ,"Use of PZQ in the last 30 days, or of any other medication that may affect trial results (e.g. antibiotics and corticosteroids) within the past week",,
X00212,S21,S21C3,196,Sm+,196,190,N/A,include: confirmed infection at baseline if >100 eggs per gram of faeces.,exclude: acute form of the disease (e.g. hepato-splenic schistosomiasis).,0,0,0,0,10.00,19.00,exclude: pregnant or lactating,,,,"signed a written informed consent (if under 18 years of age, written informed consent from parents/guardians and individual verbal assent)",,,,,,Known hypersensitivity or previous history of adverse reaction associated with PZQ,"Use of PZQ in the last 30 days, or of any other medication that may affect trial results (e.g. antibiotics and corticosteroids) within the past week",,
